,album_name,img_url
53,I Love You’s,https://musicmeta-phinf.pstatic.net/album/004/496/4496633.jpg?type=r360Fll&v=20200423165007
54,Bad Intentions,https://musicmeta-phinf.pstatic.net/album/004/497/4497808.jpg?type=r360Fll&v=20200327000008
55,Future Nostalgia,https://musicmeta-phinf.pstatic.net/album/003/391/3391998.jpg?type=r360Fll&v=20200327115932
56,Y U Gotta B Like That (feat. KYLE),https://musicmeta-phinf.pstatic.net/album/004/498/4498573.jpg?type=r360Fll&v=20200327115933
57,SADBOI,https://musicmeta-phinf.pstatic.net/album/004/497/4497899.jpg?type=r360Fll&v=20200327112029
58,CALM,https://musicmeta-phinf.pstatic.net/album/004/498/4498603.jpg?type=r360Fll&v=20200420102809
59,cherry wine,https://musicmeta-phinf.pstatic.net/album/000/638/638316.jpg?type=r360Fll&v=20170221170415
60,Somebody Like You,https://musicmeta-phinf.pstatic.net/album/002/316/2316453.jpg?type=r360Fll&v=20180110120309
61,Back in the Game,https://musicmeta-phinf.pstatic.net/album/004/499/4499705.jpg?type=r360Fll&v=20200327164708
62,Knew You,https://musicmeta-phinf.pstatic.net/album/002/383/2383279.jpg?type=r360Fll&v=20191020093404
63,Break Up Song,https://musicmeta-phinf.pstatic.net/album/004/498/4498541.jpg?type=r360Fll&v=20200327115937
64,A Few More Hours at YYZ (EP),None
65,BUBBLE,https://musicmeta-phinf.pstatic.net/album/003/453/3453053.jpg?type=r360Fll&v=20200403151550
66,Facade,https://musicmeta-phinf.pstatic.net/album/000/330/330636.jpg?type=r360Fll&v=20161127020859
67,Stained Glass,https://musicmeta-phinf.pstatic.net/album/004/507/4507832.jpg?type=r360Fll&v=20200403115944
68,Fuck My Friends,https://musicmeta-phinf.pstatic.net/album/004/507/4507858.jpg?type=r360Fll&v=20200403115944
69,Boys Ain&#39;t Shit,https://musicmeta-phinf.pstatic.net/album/000/932/932053.jpg?type=r360Fll&v=20181013204418
70,MESS,https://musicmeta-phinf.pstatic.net/album/004/507/4507631.jpg?type=r360Fll&v=20200406183112
71,Run Into You,https://musicmeta-phinf.pstatic.net/album/004/562/4562051.jpg?type=r360Fll&v=20200513102908
72,Balloons (feat. Tank),https://musicmeta-phinf.pstatic.net/album/004/507/4507627.jpg?type=r360Fll&v=20200406182907
73,Somebody Else,https://musicmeta-phinf.pstatic.net/album/004/508/4508464.jpg?type=r360Fll&v=20200406115924
74,Hold You Tonight,https://musicmeta-phinf.pstatic.net/album/004/510/4510365.jpg?type=r360Fll&v=20200407122209
75,"I miss you, I’m sorry",https://musicmeta-phinf.pstatic.net/album/004/513/4513718.jpg?type=r360Fll&v=20200423165007
76,On My Conscience,https://musicmeta-phinf.pstatic.net/album/001/405/1405584.jpg?type=r360Fll&v=20181012184955
77,Imagine U,https://musicmeta-phinf.pstatic.net/album/004/512/4512867.jpg?type=r360Fll&v=20200409164907
78,Trust,https://musicmeta-phinf.pstatic.net/album/002/006/2006716.jpg?type=r360Fll&v=20170519120313
79,nothing2prove,https://musicmeta-phinf.pstatic.net/album/004/398/4398903.jpg?type=r360Fll&v=20200107100214
80,Karate,https://musicmeta-phinf.pstatic.net/album/000/559/559343.jpg?type=r360Fll&v=20190108113537
81,Remember Me (feat. BIA),https://musicmeta-phinf.pstatic.net/album/004/515/4515662.jpg?type=r360Fll&v=20200410115933
82,Ideas,https://musicmeta-phinf.pstatic.net/album/004/582/4582111.jpg?type=r360Fll&v=20200529115940
83,MAMACITA,https://musicmeta-phinf.pstatic.net/album/004/515/4515533.jpg?type=r360Fll&v=20200410115937
84,LOUD,https://musicmeta-phinf.pstatic.net/album/000/182/182555.jpg?type=r360Fll&v=20200302133707
85,Knocked Me Off My Feet,https://musicmeta-phinf.pstatic.net/album/004/514/4514233.jpg?type=r360Fll&v=20200414113211
86,Time,https://musicmeta-phinf.pstatic.net/album/000/458/458753.jpg?type=r360Fll&v=20200325154909
87,Rare (Deluxe),https://musicmeta-phinf.pstatic.net/album/004/515/4515808.jpg?type=r360Fll&v=20200420102607
88,Three. Two. One.,https://musicmeta-phinf.pstatic.net/album/004/515/4515958.jpg?type=r360Fll&v=20200430123409
89,Six Feet Apart,https://musicmeta-phinf.pstatic.net/album/004/515/4515971.jpg?type=r360Fll&v=20200414113411
